id|trad|simp|jyutping
19285|逼巴士|逼巴士|bik1 baa1 si6
19286|逼狹|逼狭|bik1 gip6
19287|逾期|逾期|jyu6 kei4
19288|遇|遇|jyu6
19289|遇上|遇上|jyu6 soeng5
19290|遇人不淑|遇人不淑|jyu6 jan4 bat1 suk6
19291|遇到|遇到|jyu6 dou3
19292|遇啱|遇啱|jyu6 ngaam1
19293|遇救|遇救|jyu6 gau3
19294|遇溺|遇溺|jyu6 nik6
19295|遇難|遇难|jyu6 naan6
19296|遊埠|游埠|jau4 fau6
19297|遊憩|游憩|jau4 hei3
19298|遊河|游河|jau4 ho4
19299|遊船|游船|jau4 syun4
19300|遊船河|游船河|jau4 syun4 ho2
19301|遊艇會|游艇会|jau4 teng5 wui2
19302|遊車河|游车河|jau4 ce1 ho2
19303|運動場|运动场|wan6 dung6 coeng4
19304|運動會|运动会|wan6 dung6 wui2
19305|運動褲|运动裤|wan6 dung6 fu3
19306|運滯|运滞|wan6 zai6
19307|運用|运用|wan6 jung6
19308|運行|运行|wan6 hang4
19309|運輸|运输|wan6 syu1
19310|運輸及房屋局|运输及房屋局|wan6 syu1 kap6 fong4 uk1 guk6
19311|運輸業|运输业|wan6 syu1 jip6
19312|運輸機|运输机|wan6 syu1 gei1
19313|運轉|运转|wan6 zyun2
19314|遍|遍|pin3
19315|遍佈|遍布|pin3 bou3
19316|過|过|gwo3
19317|過主|过主|gwo3 zyu2
19318|過了火位|过了火位|gwo3 liu5 fo2 wai2
19319|過冬|过冬|gwo3 dung1
19320|過冷河|过冷河|gwo3 laang5 ho4
19321|過分|过分|gwo3 fan6
19322|過口癮|过口瘾|gwo3 hau2 jan2
19323|過咗海就係神仙|过咗海就系神仙|gwo3 zo2 hoi2 zau6 hai6 san4 sin1
19324|過咗海就神仙|过咗海就神仙|gwo3 zo2 hoi2 zau6 san4 sin1
19325|過咗身|过咗身|gwo3 zo2 san1
19326|過唔去|过唔去|gwo3 m4 heoi3
19327|過嚟|过嚟|gwo3 lai2
19328|過埠|过埠|gwo3 fau6
19329|過埠新娘|过埠新娘|gwo3 fau6 san1 noeng2
19330|過基峽|过基峡|gwo3 gei1 haap6
19331|過基甲|过基甲|gwo3 gei1 gaap3
19332|過塑|过塑|gwo3 sok3
19333|過大海|过大海|gwo3 daai6 hoi2
19334|過太|过太|gwo3 taai3
19335|過山風|过山风|gwo3 saan1 fung1
19336|過底紙|过底纸|gwo3 dai2 zi2
19337|過意唔去|过意唔去|gwo3 ji3 m4 heoi3
19338|過態|过态|gwo3 taai3
19339|過慮|过虑|gwo3 leoi6
19340|過手|过手|gwo3 sau2
19341|過數|过数|gwo3 sou3
19342|過樹榕|过树榕|gwo3 syu6 jung4
19343|過橋|过桥|gwo3 kiu4
19344|過橋抽板|过桥抽板|gwo3 kiu4 cau1 baan2
19345|過檔|过档|gwo3 dong3
19346|過氣|过气|gwo3 hei3
19347|過氣老倌|过气老倌|gwo3 hei3 lou5 gun1
19348|過水|过水|gwo3 seoi2
19349|過水濕腳|过水湿脚|gwo3 seoi2 sap1 goek3
19350|過江龍|过江龙|gwo3 gong1 lung4
19351|過河卒|过河卒|gwo3 ho4 zeot1
19352|過河濕腳|过河濕脚|gwo3 ho4 sap1 goek3
19353|過海|过海|gwo3 hoi2
19354|過渡|过渡|gwo3 dou6
19355|過界|过界|gwo3 gaai3
19356|過禮|过礼|gwo3 lai5
19357|過籠|过笼|gwo3 lung4
19358|過繼|过继|gwo3 gai3
19359|過膠|过膠|gwo3 gaau1
19360|過街老鼠|过街老鼠|gwo3 gaai1 lou5 syu2
19361|過費|过费|gwo3 fai3
19362|過路|过路|gwo3 lou6
19363|過身|过身|gwo3 san1
19364|過造|过造|gwo3 zou6
19365|過鐘|过钟|gwo3 zung1
19366|過雲雨|过云雨|gwo3 wan4 jyu5
19367|過電|过电|gwo3 din6
19368|過頭笠|过头笠|gwo3 tau4 lap1
19369|過骨|过骨|gwo3 gwat1
19370|過龍|过龙|gwo3 lung4
19371|遒勁|遒劲|cau4 ging6
19372|道友|道友|dou6 jau5
19373|道家思想|道家思想|dou6 gaa1 si1 soeng2
19374|道德品質|道德品质|dou6 dak1 ban2 zat1
19375|道歉|道歉|dou6 hip3
19376|達|达|daat6
19377|達利|达利|daat6 lei6
19378|達到目的|达到目的|daat6 dou3 muk6 dik1
19379|達文西|达文西|daat6 man4 sai1
19380|達斡爾族|达斡尔族|daat6 gun2 ji5 zuk6
19381|達明一派|达明一派|daat6 ming4 jat1 paai3
19382|達爾文主義|达尔文主义|daat6 ji5 man4 zyu2 ji6
19383|違背|违背|wai4 bui3
19384|遙控|遥控|jiu4 hung3
19385|遙控撻車|遥控挞车|jiu4 hung3 taat3 ce1
19386|遙相呼應|遥相呼应|jiu4 soeng1 fu1 jing3
19387|遞|递|dai6
19388|遞時|遞时|dai6 si4
19389|遠交近攻|远交近攻|jyun5 gaau1 gan6 gung1
19390|遠山|远山|jyun5 saan1
19391|遠方|远方|jyun5 fong1
19392|遠東地區|远东地区|jyun5 dung1 dei6 keoi1
19393|遠東經濟評論|远东经济评论|jyun5 dung1 ging1 zai3 ping4 leon6
19394|遠洋運輸|远洋运输|jyun5 joeng4 wan6 syu1
19395|適合|适合|sik1 hap6
19396|遭劫|遭劫|zou1 gip3
19397|遭殃|遭殃|zou1 joeng1
19398|遮|遮|ze1
19399|遮手影|遮手影|ze1 sau2 jing2
19400|遮打道|遮打道|ze1 daa2 dou6
19401|遮柄|遮柄|ze1 beng3
19402|遮瞞|遮瞒|ze1 mun4
19403|遮蔭|遮荫|ze1 jam3
19404|遮醜|遮丑|ze1 cau2
19405|遮陰|遮阴|ze1 jam1
19406|遮骨|遮骨|ze1 gwat1
19407|遲下|迟下|ci4 haa5
19408|遲到好過冇到|迟到好过冇到|ci4 dou3 hou2 gwo3 mou5 dou3
19409|遲啲|迟啲|ci4 di1
19410|遲啲見|迟啲见|ci4 di1 gin3
19411|遲嚟先上岸|迟嚟先上岸|ci4 lei4 sin1 soeng5 ngon6
19412|遲幾日|迟几日|ci4 gei2 jat6
19413|遵守|遵守|zeon1 sau2
19414|遷冊|迁册|cin1 caak3
19415|遷就|迁就|cin1 zau6
19416|選場|选场|syun2 coeng4
19417|選拔|选拔|syun2 bat6
19418|選拔賽|选拔赛|syun2 bat6 coi3
19419|選擇|选择|syun2 zaak6
19420|選材|选材|syun2 coi4
19421|選種|选种|syun2 zung2
19422|選舉事務處|选举事务处|syun2 geoi2 si6 mou6 cyu3
19423|選舉管理委員會|选举管理委员会|syun2 geoi2 gun2 lei5 wai2 jyun4 wui2
19424|遺下|遗下|wai4 haa6
19425|遺傳基因|遗传基因|wai4 cyun4 gei1 jan1
19426|遺傳學家|遗传学家|wai4 cyun4 hok6 gaa1
19427|遼代|辽代|liu4 doi6
19428|遼朝|辽朝|liu4 ciu4
19429|避孕袋|避孕袋|bei6 jan6 doi6
19430|避年|避年|bei6 nin4
19431|避忌|避忌|bei6 gei6
19432|避暑勝地|避暑胜地|bei6 syu2 sing3 dei6
19433|避車|避车|bei6 ce1
19434|避雨|避雨|bei6 jyu5
19435|避風塘|避风塘|bei6 fung1 tong4
19436|避風塘|避风塘|bei6 fung1 tong4
19437|避風頭|避风头|bei6 fung1 tau4
19438|邀集|邀集|jiu1 zaap6
19439|邁亞美|迈亚美|maai6 aa3 mei5
19440|還|还|waan4
19441|還可以|还可以|waan4 ho2 ji5
19442|還可以|还可以|waan4 ho2 ji5
19443|還得神落|还得神落|waan4 dak1 san4 lok6
19444|還沒|还没|waan4 mut6
19445|還神|还神|waan4 san4
19446|邊|边|bin1
19447|邊一個|边一个|bin1 jat1 go3
19448|邊个|边个|bin1 go3
19449|邊位|边位|bin1 wai2
19450|邊便|边便|bin1 bin6
19451|邊個|边个|bin1 go3
19452|邊個嘅|边个嘅|bin1 go3 ge3
19453|邊判|边判|bin1 pun3
19454|邊啲|边啲|bin1 di1
19455|邊喥|边喥|bin1 dou6
19456|邊度|边度|bin1 dou6
19457|邊度|边度|bin1 dou6
19458|邊旗|边旗|bin1 kei4
19459|邊日|边日|bin1 jat6
19460|邊有咁大隻蛤乸隨街跳|边有咁大只蛤乸随街跳|bin1 jau5 gam3 daai6 zek3 gap3 naa2 ceoi4 gaai1 tiu3
19461|邊樣|边样|bin1 joeng6
19462|邊緣科學|边缘科学|bin1 jyun4 fo1 hok6
19463|邊處|边处|bin1 syu3
19464|邊遠地區|边远地区|bin1 jyun5 dei6 keoi1
19465|邊防戰士|边防战士|bin1 fong4 zin3 si6
19466|邊防部隊|边防部队|bin1 fong4 bou6 deoi6
19467|邋遢|邋遢|laat6 taat3
19468|邋遢貓|邋遢猫|laat6 taat3 maau1
19469|邏輯思維|逻辑思维|lo4 cap1 si1 wai4
19470|邏輯性|逻辑性|lo4 cap1 sing3
19471|那打素醫院|那打素医院|naa6 daa2 sou3 ji1 jyun2
19472|邪不勝正|邪不胜正|ce4 bat1 sing3 zing3
19473|邪僻|邪僻|ce4 pik1
19474|邪心|邪心|ce4 sam1
19475|邪牌|邪牌|ce4 paai4
19476|邪牌電影|邪牌电影|ce4 paai2 din6 jing2
19477|邪行|邪行|ce4 hang6
19478|邪骨|邪骨|ce4 gwat1
19479|邪魔外道|邪魔外道|ce4 mo1 ngoi6 dou6
19480|郁|郁|juk1
19481|郁動|郁动|juk1 dung6
19482|郁手|郁手|juk1 sau2
19483|郁身郁勢|郁身郁势|juk1 san1 juk1 sai3
19484|郊菜|郊菜|gaau1 coi3
19485|郊野公園|郊野公园|gaau1 je5 gung1 jyun2
19486|部|部|bou6
19487|部份|部份|bou6 fan6
19488|郭富城|郭富城|gwok3 fu3 sing4
19489|郭晉安|郭晋安|gwok3 zeon3 on1
19490|郭藹明|郭蔼明|gwok3 oi2 ming4
19491|郵件|邮件|jau4 gin2
19492|郵簡|邮简|jau4 gaan2
19493|都|都|dou1
19494|都似|都似|dou1 ci5
19495|都係|都系|dou1 hai6
19496|都可以|都可以|dou1 ho2 ji5
19497|都市日報|都市日报|dou1 si5 jat6 bou3
19498|都得|都得|dou1 dak1
19499|鄃|鄃|syu1
19500|鄅|鄅|jyu5
19501|鄉下|乡下|hoeng1 haa6
19502|鄉下仔|乡下仔|hoeng1 haa6 zai2
19503|鄉下妹|乡下妹|hoeng1 haa2 mui1
19504|鄉下婆|乡下婆|hoeng1 haa2 po2
19505|鄉下音|乡下音|hoeng1 haa2 jam1
19506|鄉土|乡土|hoeng1 tou2
19507|鄉思|乡思|hoeng1 si1
19508|鄉里|乡里|hoeng1 lei5
19509|鄉里鬼鬼|乡里鬼鬼|hoeng1 lei5 gwai2 gwai2
19510|鄧健泓|邓健泓|dang6 gin6 wang4
19511|鄧光榮|邓光荣|dang6 gwong1 wing4
19512|鄧麗欣|邓丽欣|dang6 lai6 jan1
19513|鄭中基|郑中基|zeng6 zung1 gei1
19514|鄭則仕|郑则仕|zeng6 zak1 si6
19515|鄭家富|郑家富|zeng6 gaa1 fu3
19516|鄭汝樺|郑汝桦|zeng6 jyu5 waa4
19517|鄭秀文|郑秀文|zeng6 sau3 man4
19518|鄭重|郑重|zeng6 zung6
19519|鄳|鄳|maang5
19520|酌情|酌情|zoek3 cing4
19521|配|配|pui3
19522|配備|配备|pui3 bei6
19523|配套|配套|pui3 tou3
19524|配搭|配搭|pui3 daap3
19525|配料|配料|pui3 liu2
19526|配樂|配乐|pui3 ngok6
19527|配菜|配菜|pui3 coi3
19528|配角|配角|pui3 gok3
19529|配電|配电|pui3 din6
19530|配電盤|配电盘|pui3 din6 pun4
19531|配音員|配音员|pui3 jam1 jyun4
19532|酎金|酎金|zau6 gam1
19533|酒井法子|酒井法子|zau2 zeng2 faat3 zi2
19534|酒凹|酒凹|zau2 lap1
19535|酒埕|酒埕|zau2 cing4
19536|酒是故鄉醇|酒是故乡醇|zau2 si6 gu3 hoeng1 seon4
19537|酒樽|酒樽|zau2 zeon1
19538|酒渣|酒渣|zau2 zaa1
19539|酒牌|酒牌|zau2 paai4
19540|酒米|酒米|zau2 mai5
19541|酒舖|酒舖|zau2 pou2
19542|酒逢知己千杯少|酒逢知己千杯少|zau2 fung4 zi1 gei2 cin1 bui1 siu2
19543|酒醉三分醒|酒醉三分醒|zau2 zeoi3 saam1 fan1 sing2
19544|酒餅|酒饼|zau2 beng2
19545|酒鬼|酒鬼|zau2 gwai2
19546|酗酒|酗酒|jyu3 zau2
19547|酚醛塑料|酚醛塑料|fan1 cyun4 sok3 liu2
19548|酣夢|酣梦|ham4 mung6
19549|酥皮|酥皮|sou1 pei4
19550|酥胸|酥胸|sou1 hung1
19551|酬唱|酬唱|cau4 coeng3
19552|酵素|酵素|haau1 sou3
19553|酸化|酸化|syun1 faa3
19554|酸味|酸味|syun1 mei6
19555|酸宿|酸宿|syun1 suk1
19556|酸宿爛臭|酸宿烂臭|syun1 suk1 laan6 cau3
19557|酸微微|酸微微|syun1 mei1 mei1
19558|酸枝|酸枝|syun1 zi1
19559|酸梅醬|酸梅酱|syun1 mui4 zoeng3
19560|酸牛奶|酸牛奶|syun1 ngau4 naai5
19561|醃菜|腌菜|jip3 coi3
19562|醇化|醇化|seon4 faa3
19563|醉|醉|zeoi3
19564|醉意|醉意|zeoi3 ji3
19565|醉拳|醉拳|zeoi3 kyun4
19566|醉貓|醉猫|zeoi3 maau1
19567|醉酒佬|醉酒佬|zeoi3 zau2 lou2
19568|醋埕|醋埕|cou3 cing4
19569|醋精|醋精|cou3 zing1
19570|醒|醒|sing2
19571|醒你|醒你|sing2 nei5
19572|醒定|醒定|sing2 ding6
19573|醒定啲|醒定啲|sing2 ding6 di1
19574|醒水|醒水|sing2 seoi2
19575|醒爬|醒爬|sing2 paa4
19576|醒獅|醒狮|sing2 si1
19577|醒目|醒目|sing2 muk6
19578|醒目仔|醒目仔|sing2 muk6 zai2
19579|醒瞓|醒瞓|sing2 fan3
19580|醒神|醒神|sing2 san4
19581|醒胃|醒胃|sing2 wai6
19582|醒覺|醒觉|sing2 gok3
19583|醒起|醒起|sing2 hei2
19584|醖釀|酝酿|wan5 joeng6
19585|醜人|丑人|cau2 jan2
19586|醜婦終須見家翁|丑妇终须见家翁|cau2 fu5 zung1 seoi1 gin3 gaa1 jung1
19587|醜怪|丑怪|cau2 gwaai3
19588|醜惡|丑恶|cau2 ok3
19589|醜態百出|丑态百出|cau2 taai3 baak3 ceot1
19590|醜樣|丑样|cau2 joeng2
19591|醜死鬼|丑死鬼|cau2 sei2 gwai2
19592|醜生|丑生|cau2 sang1
19593|醜表功|丑表功|cau2 biu2 gung1
19594|醜陋|丑陋|cau2 lau6
19595|醜陋的中國人|丑陋的中国人|cau2 lau6 dik1 zung1 gwok3 jan4
19596|醜頸|丑颈|cau2 geng2
19597|醫務|医务|ji1 mou6
19598|醫好|医好|ji1 hou2
19599|醫生紙|医生纸|ji1 sang1 zi2
19600|醫病|医病|ji1 beng6
19601|醫療|医疗|ji1 liu4
19602|醫療事故|医疗事故|ji1 liu4 si6 gu3
19603|醫療輔助隊|医疗辅助队|ji1 liu4 fu6 zo6 deoi6
19604|醫管局|医管局|ji1 gun2 guk2
19605|醫者父母心|医者父母心|ji1 ze2 fu6 mou5 sam1
19606|醫肚|医肚|ji1 tou5
19607|醫藥費|医药费|ji1 joek6 fai3
19608|醫院管理局|医院管理局|ji1 jyun2 gun2 lei5 guk6
19609|醬|酱|zoeng3
19610|醬園|酱园|zoeng3 jyun4
19611|醬汁|酱汁|zoeng3 zap1
19612|醮壇|醮坛|ziu3 taan4
19613|釀豆腐|酿豆腐|joeng6 dau6 fu6
19614|采青|采青|coi2 ceng1
19615|釉陶|釉陶|jau6 tou4
19616|釋囚|释囚|sik1 cau4
19617|重|重|cung5
19618|重任|重任|zung6 jam6
19619|重係|重系|zung6 hai6
19620|重兼|重兼|zung6 gim1
19621|重刑|重刑|cung5 jing4
19622|重嘢|重嘢|cung5 je5
19623|重慶大廈|重庆大厦|cung4 hing3 daai6 haa6
19624|重手|重手|cung5 sau2
19625|重振|重振|cung4 zan3
19626|重𢱕𢱕|重𢱕𢱕|cung5 dap6 dap6
19627|重播|重播|cung4 bo3
19628|重播節目|重播节目|cung4 bo3 zit3 muk6
19629|重整|重整|cung4 zing2
19630|重新|重新|cung4 san1
19631|重有|重有|zung6 jau5
19632|重未|重未|zung6 mei6
19633|重案組|重案组|cung5 on3 zou2
19634|重𣲷𣲷|重𣲷𣲷|cung5 nap6 nap6
19635|重皮|重皮|cung5 pei2
19636|重秤|重秤|cung5 cing3
19637|重裝|重装|cung5 zong1
19638|重複|重复|cung4 fuk1
19639|重要問題|重要问题|zung6 jiu3 man6 tai4
19640|重託|重托|cung5 tok3
19641|重賞之下，必有勇夫|重赏之下，必有勇夫|cung5 soeng2 zi1 haa6 bit1 jau5 jung5 fu1
19642|重金禮聘|重金礼聘|cung5 gam1 lai5 ping3
19643|重陽節|重阳节|cung4 joeng4 zit3
19644|重頭|重头|cung5 tau4
19645|重點|重点|zung6 dim2
19646|野|野|je5
19647|野仔|野仔|je5 zai2
19648|野外|野外|je5 ngoi6
19649|野外作業|野外作业|je5 ngoi6 zok3 jip6
19650|野女|野女|je5 neoi2
19651|野心|野心|je5 sam1
19652|野心勃勃|野心勃勃|je5 sam1 but6 but6
19653|野心家|野心家|je5 sam1 gaa1
19654|野水鴨|野水鸭|je5 seoi2 aap3
19655|野菊|野菊|je5 guk1
19656|野菌|野菌|je5 kwan2
19657|野蠻|野蛮|je5 maan4
19658|野鳥|野鸟|je5 niu5
19659|量|量|loeng4
19660|量地官|量地官|loeng4 dei6 gun1
19661|量天尺|量天尺|loeng4 tin1 cek3
19662|量度|量度|loeng4 dok6
19663|釐定|厘定|lei4 ding6
19664|釐戥|厘戥|lei4 dang6
19665|金|金|gam1
19666|金不換|金不换|gam1 bat1 wun6
19667|金像獎|金象奖|gam1 zoeng6 zoeng2
19668|金價|金价|gam1 gaa3
19669|金光|金光|gam1 gwong1
19670|金光閃閃|金光闪闪|gam1 gwong1 sim2 sim2
19671|金剛經|金刚经|gam1 gong1 ging1
19672|金句|金句|gam1 geoi3
19673|金吾|金吾|gam1 ng4
19674|金咭|金咭|gam1 kaat1
19675|金唱片|金唱片|gam1 coeng3 pin3
19676|金器|金器|gam1 hei3
19677|金城武|金城武|gam1 sing4 mou5
19678|金埕|金埕|gam1 cing4
19679|金婚|金婚|gam1 fan1
19680|金字招牌|金字招牌|gam1 zi6 ziu1 paai4
19681|金山|金山|gam1 saan1
19682|金山丁|金山丁|gam1 saan1 ding1
19683|金山伯|金山伯|gam1 saan1 baak3
19684|金山客|金山客|gam1 saan1 haak3
19685|金山橙|金山橙|gam1 saan1 caang2
19686|金山郊野公園|金山郊野公园|gam1 saan1 gaau1 je5 gung1 jyun4
19687|金山阿伯|金山阿伯|gam1 saan1 aa3 baak3
19688|金手指|金手指|gam1 sau2 zi2
19689|金撈|金捞|gam1 lou1
19690|金星|金星|gam1 sing1
19691|金曲|金曲|gam1 kuk1
19692|金木水火土|金木水火土|gam1 muk6 seoi2 fo2 tou2
19693|金櫻子|金樱子|gam1 jing1 zi2
19694|金毛|金毛|gam1 mou1
19695|金牌|金牌|gam1 paai4
19696|金牌獎|金牌奖|gam1 paai4 zoeng2
19697|金牛|金牛|gam1 ngau4
19698|金盤洗手|金盘洗手|gam1 pun4 sai2 sau2
19699|金睛火眼|金睛火眼|gam1 zing1 fo2 ngaan5
19700|金禧|金禧|gam1 hei1
19701|金秋|金秋|gam1 cau1
19702|金竹|金竹|gam1 zuk1
19703|金笸籮|金笸箩|gam1 po2 lo4
19704|金筍|金笋|gam1 seon2
19705|金管局|金管局|gam1 gun2 guk6
19706|金絲貓|金丝猫|gam1 si1 maau1
19707|金縷衣|金缕衣|gam1 lau5 ji1
19708|金腳帶|金脚带|gam1 goek3 daai3
19709|金舖|金铺|gam1 pou3
19710|金莎|金莎|gam1 saa1
19711|金蘭姊妹|金兰姊妹|gam1 laan4 zi2 mui6
19712|金融中心|金融中心|gam1 jung4 zung1 sam1
19713|金融海嘯|金融海啸|gam1 jung4 hoi2 siu3
19714|金豬|金猪|gam1 zyu1
19715|金鈪|金鈪|gam1 ngaak2
19716|金銀紙|金银纸|gam1 ngan4 zi2
19717|金銀膶|金银膶|gam1 ngan4 jeon6
19718|金銀衣紙|金银衣纸|gam1 ngan4 ji1 zi2
19719|金鋪|金铺|gam1 pou1
19720|金錢肚|金钱肚|gam1 cin4 tou5
19721|金錢龜|金钱龟|gam1 cin4 gwai1
19722|金鐘道|金钟道|gam1 zung1 dou6
19723|金雞瓦|金鸡瓦|gam1 gai1 ngaa5
19724|金額|金额|gam1 ngaak2
19725|金風|金风|gam1 fung1
19726|金馬倫道|金马伦道|gam1 maa5 leon4 dou6
19727|金魚缸|金鱼缸|gam1 jyu4 gong1
19728|金魚街|金鱼街|gam1 jyu2 gaai1
19729|金魚黃|金鱼黄|gam1 jyu2 wong4
19730|釘|钉|deng1
19731|釘仔|钉仔|deng1 zai2
19732|釘咗|钉咗|deng1 zo2
19733|釘書機|钉书机|deng1 syu1 gei1
19734|釘書釘|钉书钉|deng1 syu1 deng1
19735|釘橋|钉桥|deng1 kiu4
19736|釘牌|钉牌|deng1 paai4
19737|釘蓋|钉盖|deng1 goi3
19738|針|针|zam1
19739|針冇兩頭利|针冇两头利|zam1 mou5 loeng5 tau4 lei6
19740|針唔拮到肉唔知痛|针唔拮到肉唔知痛|zam1 m4 gat1 dou3 juk6 m4 zi1 tung3
19741|針嘜|针唛|zam1 mak1
19742|針對|针对|zam1 deoi3
19743|針山|针山|zam1 saan1
19744|針波|针波|zam1 bo1
19745|針筒|针筒|zam1 tung2
19746|針紙|针纸|zam1 zi2
19747|針腳|针脚|zam1 goek3
19748|針黹|针黹|zam1 zi2
19749|針鼻削鐵|针鼻削铁|zam1 bei6 soek3 tit3
19750|釣金龜|钓金龟|diu3 gam1 gwai1
19751|釣餌|钓饵|diu3 nei6
19752|鈒骨|钑骨|kap1 gwat1
19753|鈒骨機|钑骨机|zaap6 gwat1 gei1
19754|鈚|鈚|pei4
19755|鈴鈴|铃铃|ling1 ling1
19756|鉗仔|钳仔|kim4 zai2
19757|鉛印|铅印|jyun4 jan3
19758|鉛筆刨|铅笔刨|jyun4 bat1 paau2
19759|鉛筆心|铅笔心|jyun4 bat1 sam1
19760|鉛筆芯|铅笔芯|jyun4 bat1 sam1
19761|鉛芯|铅芯|jyun4 sam1
19762|鉛芯筆|铅芯笔|jyun4 sam1 bat1
19763|鉤蟲|钩虫|ngau1 cung4
19764|鉸|铰|gaau3
19765|鉸剪|铰剪|gaau2 zin2
19766|銀|银|ngan4
19767|銀両|银两|ngan4 loeng5
19768|銀主盤|银主盘|ngan4 zyu2 pun4
19769|銀仔|银仔|ngan2 zai2
19770|銀包|银包|ngan4 baau1
19771|銀灰|银灰|ngan4 fui1
19772|銀礦灣|银矿湾|ngan4 kwong3 waan1
19773|銀粘|银粘|ngan4 nim1
19774|銀紙|银纸|ngan4 zi2
19775|銀線灣|银线湾|ngan4 sin3 waan1
19776|銀腳帶|银脚带|ngan4 goek3 daai3
19777|銀芽|银芽|ngan4 ngaa4
19778|銀行擔保|银行担保|ngan4 hong4 daam1 bou2
19779|銀行簿|银行簿|ngan4 hong4 bou6
19780|銀雞|银鸡|ngan4 gai1
19781|銀鱈魚|银鳕鱼|ngan4 syut3 jyu4
19782|銅綠|铜绿|tung4 luk6
19783|銅臭|铜臭|tung4 cau3
19784|銅銀|铜银|tung4 ngan2
19785|銅錢|铜钱|tung4 cin4
19786|銅鑼灣|铜锣湾|tung4 lo4 waan4
19787|銜冤|衔冤|ham4 jyun1
19788|銜頭|衔头|haam4 tau4
19789|銻煲|锑煲|tai1 bou1
19790|鋅盆|锌盆|sing1 pun2
19791|鋋|鋋|jin4
19792|鋒頭|锋头|fung1 tau4
19793|鋤|锄|co4
19794|鋤大D 锄大D|co4 daai6 di2|
19795|鋤大弟|锄大弟|co4 daai6 di2
19796|鋪|铺|pou1
19797|鋪草皮|铺草皮|pou1 cou2 pei4
19798|鋪頭|铺头|pou3 tau2
19799|鋪頭|铺头|pou3 tau4
19800|鋭利|锐利|jeoi6 lei6
19801|鋸扒|锯扒|goe3 paa2
19802|鋸牙|锯牙|geoi3 ngaa4
19803|鋼索|钢索|gong3 sok3
19804|鋼線|钢线|gong3 sin3
19805|鋼骨|钢骨|gong3 gwat1
19806|錄得|录得|luk6 dak1
19807|錄歌|录歌|luk6 go1
19808|錐仔|锥仔|zeoi1 zai2
19809|錐耳|锥耳|zeoi1 ji5
19810|錐鞋|锥鞋|zeoi1 haai4
19811|錐體|锥体|zeoi1 tai2
19812|錘仔|锤仔|ceoi4 zai2
19813|錘煉|锤炼|ceoi4 lin6
19814|錘頭|锤头|ceoi4 tau4
19815|錢七|钱七|cin4 cat1
19816|錢嘉樂|钱嘉乐|cin4 gaa1 lok6
19817|錢小豪|钱小豪|cin4 siu2 hou4
19818|錢穆|钱穆|cin4 muk6
19819|錢罌|钱罂|cin4 aang1
19820|錢銀|钱银|cin2 ngan2
19821|錢銀問題|钱银问题|cin2 ngan2 man6 tai4
19822|錢銀糾紛|钱银纠纷|cin2 ngan2 dau2 fan1
19823|錦上路|锦上路|gam2 soeng6 lou6
19824|錦標|锦标|gam2 biu1
19825|錦田|锦田|gam2 tin4
19826|錦綸|锦纶|gam2 gwaan1
19827|錦繡河山|锦绣河山|gam2 sau3 ho4 saan1
19828|錫住|锡住|sek3 zyu6
19829|錫紙|锡纸|sek3 zi2
19830|錫身|锡身|sek3 san1
19831|錯手|错手|co3 sau2
19832|錯有錯着|错有错着|co3 jau5 co3 zoek6
19833|錯有錯著|错有错著|co3 jau5 co3 zoek3
19834|錯蕩|错荡|co3 dong6
19835|錯見|错见|co3 gin3
19836|錶肉|表肉|biu1 juk2
19837|錶菂|表菂|biu1 dik1
19838|錶蓋|表盖|biu1 goi3
19839|錶行|表行|biu1 hong2
19840|錶面|表面|biu1 min6
19841|鍊金術|炼金术|lin6 gam1 seot6
19842|鍍金|镀金|dou6 gam1
19843|鍍鋅鐵|镀锌铁|dou6 san1 tit3
19844|鍛煉|锻炼|dyun3 lin6
19845|鍛練|锻练|dyun3 lin6
19846|鍛鍊|锻炼|dyun3 lin6
19847|鍾嘉欣|钟嘉欣|zung1 gaa1 jan1
19848|鍾子期|钟子期|zung1 zi2 kei4
19849|鍾山|钟山|zung1 saan1
19850|鍾情|钟情|zung1 cing4
19851|鍾意|钟意|zung1 ji3
19852|鍾意點就點|钟意点就点|zung1 ji3 dim2 zau6 dim2
19853|鍾欣桐|钟欣桐|zung1 jan1 tung4
19854|鍾落潭|钟落潭|zung1 lok6 taam4
19855|鍾馗|钟馗|zung1 kwai4
19856|鎅刀|鎅刀|gaai3 dou1
19857|鎖住|锁住|so2 zyu6
19858|鎖匙扣|锁匙扣|so2 si4 kau3
19859|鎖匙窿|锁匙窿|so2 si4 lung1
19860|鎖鐐|锁镣|so2 liu4
19861|鎖頭|锁头|so2 tau4
19862|鎚仔|锤仔|ceoi4 zai2
19863|鎢絲|钨丝|wu1 si1
19864|鏈冚|链冚|lin6 ham6
19865|鏘鏘|锵锵|coeng1 coeng1
19866|鏟|铲|caan2
19867|鏟地皮|铲地皮|caan2 dei6 pei4
19868|鏟泥車|铲泥车|caan2 nai4 ce1
19869|鏟除|铲除|caan2 ceoi4
19870|鏡|镜|geng3
19871|鏡屏|镜屏|geng3 ping4
19872|鏡面|镜面|geng3 min6
19873|鏢局|镖局|biu1 guk6
19874|鏢靶|镖靶|biu1 baa2
19875|鏨刀|錾刀|zaam6 dou1
19876|鏺|䥽|put3
19877|鏽蝕|锈蚀|sau3 sik6
